Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook
Enzene Biosciences,enzene.com,Pune,Specialty biotech,Biosimilars and continuous manufacturing,>Rs.500Cr,Himanshu Gadgil,CEO,PhD,Strong,State-of-the-art continuous manufacturing plant.,Strong,HQ in Pune.,Strong,First-in-the-world continuous manufacturing for certain mAbs.,Strong,PhD leadership.,Strong,Biologics tailwind.,Strong,Massive growth.,0,D — Not ICP,Fail — Auto-disqualify,"Subsidiary of Alkem Laboratories. Not an independent founder-driven MSME.",N/A
Greenovative Energy,greenovative.co.in,Pune,Industrial sensors,Energy monitoring IoT systems and sensors,<Rs.30Cr,Prashant Deshmukh,Founder,Embedded Systems Engineer,Moderate,Hardware-software integration; outsources some PCB fabrication.,Strong,HQ in Pune.,Moderate,Strong software IP but hardware is somewhat commoditized.,Strong,Engineer founder.,Strong,Energy efficiency and ESG mandates.,Strong,Fast client acquisition.,65,B — Probable Federer,Fit (Borderline),"Great founder, but need to verify they don't lean too heavily on SaaS over physical hardware manufacturing.",Your approach to energy monitoring combining edge hardware with analytics is a smart play on ESG trends.
Nichem Solutions,nichemsolutions.com,Pune,Specialty chemicals,Specialty water treatment and agrochemicals,Rs.30-100Cr,Rajan Venkateswaran,MD,Chemical technologist,Strong,Plant in Ambegaon.,Strong,HQ in Pune.,Strong,Proprietary zero-liquid-discharge chemistry.,Strong,Deep technical expertise in water chemistry.,Strong,Sustainability mandates.,Moderate,Steady regional growth.,80,A — Strong Federer,Strong Pass,Technical founder solving hard chemical problems in water treatment.,Your zero-liquid-discharge chemical formulations are solving one of the biggest headaches for Indian manufacturers.
Yash Metallics,yashmetallics.com,Pune,Precision engineering,Machined iron castings for auto,Rs.100-300Cr,Yashwant Patil,MD,Metallurgist,Strong,Foundry and machining setups.,Strong,HQ in Pune.,Weak,High-quality but ultimately commodity auto-castings.,Moderate,Operationally technical.,Moderate,Auto sector stability.,Moderate,Stable capacity.,45,C — Borderline,Borderline,"Strong manufacturer, but borderline on C3 (Differentiation). Castings are often commodity unless highly specialized.",N/A
Vimta Labs (Pune Branch),vimta.com,Pune,Contract research,Analytical testing services,<Rs.30Cr,N/A,N/A,N/A,Fail,Service company (testing); no product.,Strong,Branch in Pune.,Moderate,Specialized testing.,Not scored,N/A,Not scored,N/A,Not scored,N/A,0,D — Not ICP,Fail — Auto-disqualify,Service company. CRO/Testing lab.,N/A
Sika India,sika.com,Pune,Performance chemicals,Construction chemicals,>Rs.500Cr,N/A,N/A,N/A,Strong,Plant in Pune.,Strong,HQ in Mumbai/Pune.,Strong,Proprietary construction chems.,Fail,Subsidiary of Swiss MNC.,Strong,Infra boom.,Strong,Growing.,0,D — Not ICP,Fail — Auto-disqualify,Subsidiary of a global MNC.,N/A
MyLab Discovery Solutions,mylabdiscoverysolutions.com,Pune,Specialty diagnostics,Molecular diagnostic kits (RT-PCR),>Rs.500Cr,Hasmukh Rawal,MD,Biotech researcher,Strong,Massive automated IVD plant in Pune.,Strong,HQ in Pune.,Strong,Deep IP in molecular diagnostics.,Strong,Scientist founder.,Strong,Healthcare localization.,Strong,Explosive COVID growth.,0,D — Not ICP,Fail — Auto-disqualify,"Fantastic company, but revenue exploded past Rs.500Cr during COVID.",N/A
Sanjeev Auto Parts,sanjeevgroup.com,Pune,Precision engineering,Transmission components,Rs.300-500Cr,Sanjeev K.,MD,Engineer,Strong,Large machining lines.,Strong,HQ in Pune.,Weak,Commodity auto parts.,Moderate,Experienced engineer.,Moderate,Auto sector.,Moderate,Stable.,45,C — Borderline,Borderline,Too close to a commodity auto job-shop.,N/A
Praj Industries,praj.net,Pune,Specialty biotech,Ethanol plants and bioprocessing equipment,>Rs.500Cr,Pramod Chaudhari,Founder,IIT Bombay (Mech),Strong,Massive manufacturing capability.,Strong,HQ in Pune.,Strong,Global leader in bioethanol IP.,Strong,IIT engineer founder.,Strong,Biofuels tailwind.,Strong,Massive growth.,0,D — Not ICP,Fail — Auto-disqualify,"Revenue over Rs.3000Cr. Legendary engineering company, but too large.",N/A
Kulkarni Power Tools,kpt.co.in,Pune,Precision engineering,Power tools and blowers,Rs.100-300Cr,Prakash Kulkarni,MD,Engineer,Strong,Plant in Shirol/Pune.,Strong,HQ in Pune.,Moderate,Established brand but facing cheap imports.,Moderate,Technical management.,Weak,Commoditizing market.,Weak,Stagnant.,40,C — Borderline,Borderline,Struggling with differentiation against imports.,N/A
Gennova Biopharmaceuticals,gennova.bio,Pune,Specialty biotech,mRNA vaccines and biosimilars,>Rs.500Cr,Dr. Sanjay Singh,CEO,Scientist,Strong,Vaccine manufacturing.,Strong,HQ in Pune.,Strong,mRNA technology pioneer.,Strong,Scientist led.,Strong,Biotech boom.,Strong,Massive growth.,0,D — Not ICP,Fail — Auto-disqualify,Subsidiary of Emcure Pharmaceuticals.,N/A
Science for Society,s4stech.com,Pune,Specialty agri-inputs,Solar conduction dryers for agri-processing,<Rs.30Cr,Vaibhav Tidke,CEO,ICT Mumbai (PhD),Strong,Manufactures specialized solar dryers.,Strong,HQ in Pune.,Strong,Patented solar conduction tech.,Strong,PhD founder.,Strong,Agri-tech push.,Strong,Rapid startup scaling.,95,A — Strong Federer,Strong Pass,Scientist founder building patented hardware to solve agricultural waste.,Your PhD work at ICT translating directly into patented solar conduction dryers is the definition of applied science.
